,Date,Open,High,Low,Close,Adj Close,Volume
0,03-01-2012,16.262545,16.641375,16.248346,16.57313,16.57313,147611217
1,04-01-2012,16.563665,16.693678,16.453827,16.644611,16.644611,114989399
2,05-01-2012,16.491436,16.537264,16.344486,16.413727,16.413727,131808205
3,06-01-2012,16.417213,16.438385,16.184088,16.189817,16.189817,108119746
4,09-01-2012,16.102144,16.114599,15.472754,15.503389,15.503389,233776981
5,10-01-2012,15.684959,15.785831,15.365158,15.520326,15.520326,176483032
6,11-01-2012,15.529292,15.675993,15.470015,15.590563,15.590563,96359832
7,12-01-2012,15.721572,15.763166,15.604012,15.682219,15.682219,75289148
8,13-01-2012,15.598035,15.61522,15.46852,15.566403,15.566403,92637933
9,17-01-2012,15.740501,15.740501,15.583589,15.655818,15.655818,76658261
10,18-01-2012,15.60725,15.790812,15.494921,15.763664,15.763664,110882061
11,19-01-2012,15.96491,15.96491,15.727549,15.929542,15.929542,253157352
12,20-01-2012,14.70812,14.719826,14.488195,14.595044,14.595044,424637703
13,23-01-2012,14.595293,14.661545,14.524558,14.583338,14.583338,137027695
14,24-01-2012,14.603263,14.637136,14.39604,14.469017,14.469017,122690156
15,25-01-2012,14.383836,14.413724,14.106625,14.184085,14.184085,200255805
16,26-01-2012,14.246102,14.308369,14.061046,14.149464,14.149464,129531704
17,27-01-2012,14.216214,14.453824,14.1801,14.445355,14.445355,145242371
18,30-01-2012,14.397285,14.445853,14.28147,14.388319,14.388319,93569411
19,31-01-2012,14.520573,14.54548,14.325056,14.448593,14.448593,86017210
20,01-02-2012,14.568892,14.58284,14.424434,14.466526,14.466526,93175942
21,02-02-2012,14.567149,14.605505,14.497659,14.573126,14.573126,96950036
22,03-02-2012,14.711358,14.87101,14.646352,14.852579,14.852579,127215053
23,06-02-2012,14.819702,15.213725,14.794795,15.170388,15.170388,147735682
24,07-02-2012,15.122069,15.17786,15.037635,15.112604,15.112604,83997668
25,08-02-2012,15.15918,15.226677,15.062044,15.189317,15.189317,73731331
26,09-02-2012,15.243364,15.305133,15.168146,15.229416,15.229416,90927546
27,10-02-2012,15.140251,15.146477,15.043613,15.091185,15.091185,93356617
28,13-02-2012,15.205506,15.288694,15.193551,15.247847,15.247847,72924318
29,14-02-2012,15.231409,15.242866,15.062542,15.187075,15.187075,72418428
30,15-02-2012,15.266029,15.266029,15.007747,15.082467,15.082467,97399715
31,16-02-2012,15.014223,15.163414,14.887448,15.106378,15.106378,101615457
32,17-02-2012,15.067772,15.134024,15.003762,15.059553,15.059553,98331193
33,21-02-2012,15.040375,15.389317,15.015717,15.292679,15.292679,99603946
