Open,High,Low,Close,Adj Close,Volume
-1.094119271,-1.086473803,-1.091557801,-1.08580889,-1.08580889,2.835498299
-1.085699296,-1.085028281,-1.085745638,-1.083810123,-1.083810123,1.929864245
-1.087718977,-1.089351167,-1.088838419,-1.09026615,-1.09026615,2.396781308
-1.089794415,-1.092083932,-1.09337538,-1.096527169,-1.096527169,1.739151646
-1.098604435,-1.101032557,-1.11349592,-1.115721215,-1.115721215,5.227598278
-1.110269843,-1.110118871,-1.116539342,-1.115247619,-1.115247619,3.637026248
-1.114622634,-1.113154515,-1.113573394,-1.113283637,-1.113283637,1.412677549
-1.109246063,-1.110745274,-1.109783203,-1.110720733,-1.110720733,0.827721524
-1.112700428,-1.114834127,-1.113615681,-1.113959204,-1.113959204,1.309351656
-1.108716767,-1.111371678,-1.110360881,-1.111458963,-1.111458963,0.8657303
-1.112442757,-1.109981209,-1.112868912,-1.10844335,-1.10844335,1.815837947
-1.102441799,-1.105169582,-1.106288879,-1.103805034,-1.103805034,5.765628499
-1.137584404,-1.139580548,-1.141344805,-1.141120551,-1.141120551,10.52619842
-1.140739294,-1.141191287,-1.140316255,-1.141447877,-1.141447877,2.541682733
-1.140516436,-1.14186589,-1.143951469,-1.144644545,-1.144644545,2.143649626
-1.146652096,-1.148040432,-1.152137759,-1.152611874,-1.152611874,4.296996602
-1.150503441,-1.150952177,-1.15342699,-1.153579954,-1.153579954,2.333581985
-1.151339175,-1.146932169,-1.150059471,-1.145306187,-1.145306187,2.76973533
-1.146276032,-1.147152468,-1.147192155,-1.146901039,-1.146901039,1.335210981
-1.142828629,-1.14439903,-1.145959297,-1.145215645,-1.145215645,1.125549753
-1.141477524,-1.143366494,-1.143148326,-1.144714199,-1.144714199,1.324287649
-1.141526262,-1.142740091,-1.14107711,-1.141733427,-1.141733427,1.42906256
-1.137493862,-1.135402206,-1.136871233,-1.133919303,-1.133919303,2.269268033
-1.134464326,-1.125930431,-1.132672427,-1.12503266,-1.12503266,2.838953647
-1.126009482,-1.126921649,-1.125803541,-1.126648428,-1.126648428,1.069484024
