Date, Open, High, Low, Close
03-01-2012,12221.19,12479.65,12221.19,12397.38
04-01-2012,12392.46,12430,12337.25,12418.42
05-01-2012,12418.42,12435.98,12283.9,12415.7
06-01-2012,12407.45,12415.24,12332.41,12359.92
09-01-2012,12359.31,12409.08,12333.85,12392.69
10-01-2012,12394.51,12514.69,12394.51,12462.47
11-01-2012,12459.52,12462.58,12399.01,12449.45
12-01-2012,12449.91,12483.7,12385.08,12471.02
13-01-2012,12469.96,12470.12,12311.79,12422.06
17-01-2012,12423.12,12573.65,12423.12,12482.07
18-01-2012,12474.69,12582.28,12453.2,12578.95
19-01-2012,12578.19,12625.8,12563.58,12623.98
20-01-2012,12623.83,12720.48,12620.76,12720.48
23-01-2012,12720.25,12764.49,12665.83,12708.82
24-01-2012,12708.37,12708.52,12613.54,12675.75
25-01-2012,12673.63,12778.26,12580.12,12756.96
26-01-2012,12757.33,12841.95,12695.16,12734.63
27-01-2012,12733.95,12733.95,12630.72,12660.46
30-01-2012,12659.17,12659.32,12529.41,12653.72
31-01-2012,12654.78,12720.1,12567.33,12632.91
01-02-2012,12632.76,12784.62,12632.76,12716.46
02-02-2012,12716.54,12741.89,12676.05,12705.41
03-02-2012,12705.04,12869.95,12704.96,12862.23
06-02-2012,12860.72,12860.79,12793.43,12845.13
07-02-2012,12844.37,12903.71,12782.57,12878.2
08-02-2012,12865.79,12893.64,12817.69,12883.95
09-02-2012,12884.41,12924.71,12846.41,12890.46
10-02-2012,12889.55,12889.63,12743.56,12801.23
13-02-2012,12799.11,12887.93,12799.11,12874.04
14-02-2012,12871.77,12878.88,12786.93,12878.28
15-02-2012,12864.65,12899.47,12753.62,12780.95
16-02-2012,12779.81,12914,12779.58,12904.08
17-02-2012,12903.33,12967.92,12903.25,12949.87
21-02-2012,12949.34,13005.04,12926.11,12965.69
22-02-2012,12966.22,12977.91,12914.83,12938.67
23-02-2012,12937.08,12996.08,12882.67,12984.69
24-02-2012,12981.2,13013.82,12950.59,12982.95
27-02-2012,12981.13,13027.52,12882.59,12981.51
28-02-2012,12976.74,13021.51,12952.82,13005.12
29-02-2012,13005.42,13055.75,12929.66,12952.07
01-03-2012,12952.29,13032.67,12943.06,12980.3
02-03-2012,12980.75,12997.51,12927.77,12977.57
05-03-2012,12977.34,12977.34,12883.91,12962.81
06-03-2012,12958.65,12958.73,12734.86,12759.15
07-03-2012,12756.12,12857.73,12751.51,12837.33
08-03-2012,12835.53,12937.19,12835.53,12907.94
09-03-2012,12908.62,12968.79,12906.43,12922.02
12-03-2012,12920.58,12976.36,12919.98,12959.71
